14166;17699;17132
2147;16675;17136
6874;16675;34216
61662;16675;17128
48055;17699;17132
24690;17699;17132
36571;17699;26267
375;16931;17138
24445;16675;17136
56125;16931;17130
20134;17187;3389
25443;17699;17132
65142;16419;17136
3696;17187;17138
15562;17187;17130
9275;16675;33968
47966;16419;17128
12910;17187;17130
11813;16675;17136
221;16675;55546
11716;17955;17134
52151;16675;34216
35953;17187;17138
45629;16931;17130
47109;17443;17140
22641;17955;17134
64725;16931;17130
47421;16931;57190
63090;16675;33960
55912;17443;17140
36309;16931;17130
34172;17443;17132
46638;17955;17134
55732;17443;17140
62572;16931;23
20151;17955;17142
60284;17187;17130
4922;16931;17138
22641;17187;17130
50275;16931;17130
18471;17955;17134
572;17443;17140
44233;17187;82
11331;17187;5555
21866;16675;17128
1600;17955;23
51033;16675;17136
14395;17955;26465
52591;17187;17138
8154;17955;17134
48960;16931;445
22491;16675;17128
63092;17699;17132
44980;17443;17132
64108;17443;17132
51083;17443;45814
1708;17955;17134
32635;16419;17136
28874;17699;50167
24219;17443;6686
25567;17187;17130
34172;17443;17140
61662;17699;17140
55358;16931;17138
48700;16419;17128
64372;17699;17140
47421;16675;33960
63092;17443;33972
61116;16419;17128
30826;17187;17138
49116;16931;17130
25187;17443;17140
59601;17187;23
11645;17955;17134
11360;17443;33964
14775;17699;34220
1582;17699;17132
18038;16419;17136
45534;16419;17128
53132;16931;17138
42300;16931;17130
10810;17955;17142
53955;17955;17134
26117;17187;17130
8876;16419;23
57466;16931;17138
52151;17699;34034
14705;16931;17138
62059;16931;17130
10076;16419;17128
59613;17955;17134
49836;17699;17132
11813;16419;17136
21031;16419;17128
36413;17699;17140
22494;16931;17130
46653;17443;17140
41071;16931;34218
3193;17699;17140
50141;16419;17136
29392;18211;17142
64113;17955;17142
60027;16675;55546
19819;17699;17132
63945;17699;17132
22385;17955;17142
1396;17699;17132
572;17699;17132
51564;17699;80
8402;16675;17136
56428;17187;17138
27229;16419;17136
45657;17955;17142
19828;16419;17128
30063;18211;17134
48462;16931;17130
